Entity,Code,Year,Oceans,Rivers and lakes
United States,USA,2005,1920488,8031259.5
United States,USA,2006,2015110,8284199.5
United States,USA,2007,2111580,8535700
United States,USA,2008,2209696,8772660
United States,USA,2009,2309109,9001730
United States,USA,2010,2409952,9229680
United States,USA,2011,2511974,9450210
United States,USA,2012,2615021,9661500
United States,USA,2013,2718903,9863430
United States,USA,2014,2823467,10053490
United States,USA,2015,2928552,10232940
United States,USA,2016,3034087,10405270
United States,USA,2017,3139809,10565650
United States,USA,2018,3245500,10715760
United States,USA,2019,3351125,10853590
World,OWID_WRL,2000,8471748,38572700
World,OWID_WRL,2001,9153952,41223550
World,OWID_WRL,2002,9881777,44035236
World,OWID_WRL,2003,10656836,46987790
World,OWID_WRL,2004,11481840,50105430
World,OWID_WRL,2005,12356893,53340350
World,OWID_WRL,2006,13285542,56739520
World,OWID_WRL,2007,14270018,60306524
World,OWID_WRL,2008,15304404,63857120
World,OWID_WRL,2009,16390133,67492880
World,OWID_WRL,2010,17532564,71334400
World,OWID_WRL,2011,18731688,75296824
World,OWID_WRL,2012,19986928,79338504
World,OWID_WRL,2013,21299928,83467370
World,OWID_WRL,2014,22671212,87666200
World,OWID_WRL,2015,24102792,91952040
World,OWID_WRL,2016,25592508,96270140
World,OWID_WRL,2017,27140496,100631390
World,OWID_WRL,2018,28747704,105002030
World,OWID_WRL,2019,30408748,109437000
